attorney_id,name,role,hourly_rate,hire_date
1,Attorney_1,Partner,307,2013-02-10
2,Attorney_2,Partner,296,2020-07-09
3,Attorney_3,Associate,294,2020-01-23
4,Attorney_4,Partner,269,2023-10-20
5,Attorney_5,Associate,468,2010-02-13
6,Attorney_6,Partner,424,2011-10-12
7,Attorney_7,Associate,241,2010-06-05
8,Attorney_8,Paralegal,207,2015-09-28
9,Attorney_9,Partner,588,2014-11-02
10,Attorney_10,Partner,495,2013-05-09
11,Attorney_11,Partner,378,2022-04-23
12,Attorney_12,Partner,266,2023-08-28
13,Attorney_13,Associate,467,2021-11-02
14,Attorney_14,Partner,428,2019-06-30
15,Attorney_15,Paralegal,276,2012-06-29
16,Attorney_16,Paralegal,542,2016-06-18
17,Attorney_17,Partner,545,2015-05-01
18,Attorney_18,Paralegal,278,2016-10-03
19,Attorney_19,Partner,207,2012-09-25
20,Attorney_20,Partner,271,2011-01-27
21,Attorney_21,Paralegal,150,2015-05-08
22,Attorney_22,Partner,388,2019-06-02
23,Attorney_23,Paralegal,439,2023-12-21
24,Attorney_24,Associate,245,2020-04-02
25,Attorney_25,Partner,275,2011-05-30
26,Attorney_26,Associate,267,2012-06-27
27,Attorney_27,Paralegal,197,2021-03-18
28,Attorney_28,Associate,238,2023-05-21
29,Attorney_29,Associate,386,2022-01-09
30,Attorney_30,Paralegal,522,2010-05-15
31,Attorney_31,Associate,534,2021-07-23
32,Attorney_32,Associate,421,2022-11-24
33,Attorney_33,Paralegal,338,2015-06-05
34,Attorney_34,Associate,341,2013-03-22
35,Attorney_35,Paralegal,596,2016-07-14
36,Attorney_36,Associate,218,2019-08-18
37,Attorney_37,Paralegal,427,2010-01-13
38,Attorney_38,Paralegal,498,2023-10-16
39,Attorney_39,Associate,396,2017-11-30
40,Attorney_40,Associate,225,2015-05-25
41,Attorney_41,Associate,303,2022-10-19
42,Attorney_42,Partner,293,2019-05-06
43,Attorney_43,Partner,584,2014-03-15
44,Attorney_44,Partner,235,2011-12-03
45,Attorney_45,Paralegal,334,2021-09-28
46,Attorney_46,Associate,434,2018-02-02
47,Attorney_47,Paralegal,369,2011-07-09
48,Attorney_48,Partner,218,2021-10-19
49,Attorney_49,Associate,196,2022-03-16
50,Attorney_50,Paralegal,243,2021-05-19
51,Attorney_51,Associate,387,2021-05-21
52,Attorney_52,Paralegal,595,2022-06-06
53,Attorney_53,Associate,353,2010-06-16
54,Attorney_54,Partner,549,2018-10-04
55,Attorney_55,Partner,367,2020-07-18
56,Attorney_56,Associate,581,2010-12-23
57,Attorney_57,Paralegal,490,2018-09-05
58,Attorney_58,Partner,188,2018-05-17
59,Attorney_59,Partner,249,2015-09-09
60,Attorney_60,Partner,438,2010-05-14
61,Attorney_61,Associate,403,2018-01-04
62,Attorney_62,Associate,371,2011-07-08
63,Attorney_63,Paralegal,506,2017-09-25
64,Attorney_64,Paralegal,172,2015-05-30
65,Attorney_65,Paralegal,399,2012-04-29
66,Attorney_66,Associate,159,2023-01-19
67,Attorney_67,Associate,395,2017-06-16
68,Attorney_68,Paralegal,474,2012-12-28
69,Attorney_69,Paralegal,249,2010-12-30
70,Attorney_70,Associate,439,2017-11-26
71,Attorney_71,Paralegal,329,2022-03-31
72,Attorney_72,Partner,372,2017-08-05
73,Attorney_73,Associate,543,2013-12-05
74,Attorney_74,Paralegal,399,2020-06-03
75,Attorney_75,Associate,296,2020-09-25
76,Attorney_76,Partner,591,2014-02-02
77,Attorney_77,Associate,245,2013-01-09
78,Attorney_78,Associate,406,2011-06-01
79,Attorney_79,Associate,474,2020-04-07
80,Attorney_80,Associate,153,2010-10-30
81,Attorney_81,Partner,165,2016-07-31
82,Attorney_82,Associate,429,2014-07-10
83,Attorney_83,Associate,485,2010-12-25
84,Attorney_84,Paralegal,396,2014-06-23
85,Attorney_85,Associate,407,2010-12-10
86,Attorney_86,Paralegal,533,2017-01-29
87,Attorney_87,Partner,309,2016-12-15
88,Attorney_88,Partner,489,2021-07-24
89,Attorney_89,Partner,301,2018-12-07
90,Attorney_90,Partner,545,2022-03-07
91,Attorney_91,Paralegal,327,2020-08-14
92,Attorney_92,Associate,312,2015-09-07
93,Attorney_93,Partner,529,2010-10-27
94,Attorney_94,Associate,182,2014-04-15
95,Attorney_95,Paralegal,566,2016-06-01
96,Attorney_96,Paralegal,594,2018-01-03
97,Attorney_97,Paralegal,328,2011-01-27
98,Attorney_98,Partner,576,2017-06-12
99,Attorney_99,Associate,250,2016-02-17
100,Attorney_100,Associate,417,2012-10-16
